image,seed_type,soil_moisture,temperature,humidity,rainfall,soil_ph,viability_latent,germination_probability,germinated
seed_00072.png,Little Millet,44.08,25.13,42.43,24.54,5.962,0.682,0.415,0
seed_00073.png,Pearl Millet,91.61,33.95,78.15,23.8,6.015,0.349,0.1653,0
seed_00074.png,Pearl Millet,58.3,13.42,67.85,92.96,5.791,0.305,0.1543,0
seed_00075.png,Little Millet,60.66,17.08,58.21,24.22,6.391,0.752,0.5212,1
seed_00076.png,Proso Millet,62.6,28.02,32.01,59.77,5.891,0.532,0.4972,0
seed_00077.png,Little Millet,51.41,31.38,66.32,33.7,9.127,0.614,0.0258,0
seed_00078.png,Barnyard Millet,90.84,25.16,69.08,6.98,6.389,0.584,0.4196,0
seed_00079.png,Finger Millet,60.55,18.32,66.77,112.77,5.732,0.42,0.2814,1
seed_00080.png,Pearl Millet,52.92,37.71,92.46,79.39,4.578,0.347,0.0301,0
seed_00081.png,Foxtail Millet,72.3,35.08,73.85,139.6,5.512,0.808,0.6211,1
seed_00082.png,Proso Millet,69.7,31.35,47.1,18.39,6.093,0.83,0.7897,0
seed_00083.png,Finger Millet,54.8,26.32,72.74,56.09,5.45,0.802,0.8199,1
seed_00084.png,Pearl Millet,49.01,40.2,66.47,157.39,4.259,0.568,0.0166,1
seed_00085.png,Finger Millet,68.67,33.31,57.66,32.23,7.762,0.444,0.2475,1
seed_00086.png,Kodo Millet,63.84,24.61,57.33,86.07,7.454,0.818,0.7738,1
seed_00087.png,Pearl Millet,26.28,23.46,77.83,77.33,7.824,0.711,0.1565,0
seed_00088.png,Kodo Millet,45.08,27.06,61.99,78.26,5.764,0.929,0.6619,0
seed_00089.png,Proso Millet,67.55,20.65,62.21,72.55,6.827,0.817,0.7988,1
seed_00090.png,Foxtail Millet,58.11,32.04,63.42,65.2,6.843,0.687,0.6902,0
seed_00091.png,Pearl Millet,48.19,27.85,52.35,58.52,6.385,0.628,0.7843,1
seed_00092.png,Little Millet,8.0,25.54,65.86,1.54,7.674,0.832,0.01,0
seed_00093.png,Finger Millet,98.0,35.84,57.95,24.7,5.971,0.705,0.1617,0
seed_00094.png,Proso Millet,70.04,18.28,35.6,2.95,6.36,0.458,0.4521,1
seed_00095.png,Foxtail Millet,66.93,31.34,61.2,7.16,7.278,0.515,0.4604,0
seed_00096.png,Foxtail Millet,73.36,18.62,34.24,0.11,7.655,0.529,0.2797,0
seed_00097.png,Little Millet,69.61,18.3,62.27,7.23,7.063,0.714,0.4177,0
seed_00098.png,Kodo Millet,74.88,10.37,51.6,162.76,5.702,0.481,0.0225,0
seed_00099.png,Finger Millet,85.76,41.26,42.12,57.89,6.65,0.241,0.0522,0
seed_00100.png,Little Millet,87.17,16.53,67.7,42.3,7.052,0.327,0.0371,0
seed_00101.png,Proso Millet,91.06,35.82,86.35,94.35,6.546,0.747,0.2937,1
seed_00102.png,Kodo Millet,42.2,44.92,70.08,24.37,7.404,0.653,0.011,0
seed_00103.png,Pearl Millet,78.87,24.39,36.78,119.11,4.795,0.555,0.2259,0
seed_00104.png,Barnyard Millet,60.96,19.28,91.59,37.74,6.446,0.851,0.7283,1
seed_00105.png,Barnyard Millet,52.31,27.36,65.76,7.84,7.493,0.695,0.5237,0
seed_00106.png,Proso Millet,53.73,24.42,81.36,48.65,3.947,0.792,0.1749,0
seed_00107.png,Proso Millet,52.06,23.1,55.44,16.71,7.46,0.488,0.3518,1
seed_00108.png,Foxtail Millet,50.0,23.6,51.32,22.9,6.045,0.576,0.4789,1
seed_00109.png,Foxtail Millet,50.1,15.9,37.18,12.75,6.1,0.704,0.2563,0
seed_00110.png,Proso Millet,68.09,27.6,68.95,19.11,5.942,0.616,0.6836,1
seed_00111.png,Kodo Millet,48.63,12.77,48.47,47.26,6.908,0.385,0.0938,1
seed_00112.png,Finger Millet,59.67,27.74,53.72,4.69,5.522,0.759,0.6588,0
seed_00113.png,Foxtail Millet,58.89,18.57,52.6,6.25,6.136,0.786,0.6247,1
seed_00114.png,Kodo Millet,52.05,21.49,67.73,24.98,8.374,0.715,0.3322,1
seed_00115.png,Pearl Millet,50.42,28.21,58.57,118.8,5.098,0.743,0.5568,0
seed_00116.png,Proso Millet,93.31,36.06,44.2,31.4,4.945,0.604,0.1053,0
seed_00117.png,Little Millet,47.65,18.95,67.66,70.52,7.641,0.425,0.132,1
seed_00118.png,Proso Millet,48.03,18.3,91.07,9.5,7.11,0.893,0.4123,1
seed_00119.png,Pearl Millet,38.03,41.32,58.39,84.49,6.542,0.562,0.077,0
seed_00120.png,Finger Millet,44.04,22.83,66.85,26.49,6.378,0.589,0.6013,0
seed_00121.png,Foxtail Millet,48.84,26.65,60.88,12.52,5.066,0.446,0.3783,1
seed_00122.png,Kodo Millet,58.17,25.98,90.55,74.44,7.146,0.486,0.5529,1
seed_00123.png,Finger Millet,61.17,23.93,64.3,75.83,7.676,0.609,0.6451,1
seed_00124.png,Finger Millet,73.07,15.08,56.61,73.4,4.076,0.667,0.0485,0
seed_00125.png,Kodo Millet,91.75,26.5,56.45,123.01,6.509,0.514,0.3264,1
seed_00126.png,Kodo Millet,71.11,35.34,86.37,36.04,7.449,0.902,0.7334,1
seed_00127.png,Barnyard Millet,58.84,20.16,66.0,56.86,6.698,0.34,0.3618,0
seed_00128.png,Proso Millet,59.6,35.47,26.71,34.63,5.922,0.756,0.4541,1
seed_00129.png,Foxtail Millet,90.75,19.89,60.23,47.86,6.824,0.569,0.1098,0
seed_00130.png,Little Millet,24.05,23.73,57.36,134.04,7.686,0.566,0.0779,0
seed_00131.png,Finger Millet,74.25,20.75,90.78,13.5,5.426,0.487,0.389,0
seed_00132.png,Foxtail Millet,39.64,26.81,54.74,132.36,6.079,0.309,0.2145,0
seed_00133.png,Proso Millet,61.02,24.9,86.18,44.94,7.788,0.692,0.6166,0
seed_00134.png,Foxtail Millet,65.39,20.15,57.48,289.56,6.077,0.713,0.3388,0
seed_00135.png,Proso Millet,64.27,31.98,84.75,8.96,6.974,0.937,0.8532,1
seed_00136.png,Kodo Millet,64.92,12.9,67.61,46.3,6.616,0.209,0.0619,0
seed_00137.png,Finger Millet,50.08,23.6,66.36,18.97,6.848,0.709,0.7693,1
seed_00138.png,Foxtail Millet,50.31,38.84,55.05,28.2,5.024,0.662,0.1111,0
seed_00139.png,Kodo Millet,44.39,24.13,84.22,24.16,5.257,0.811,0.5494,1
seed_00140.png,Barnyard Millet,85.56,24.48,64.03,113.83,6.837,0.321,0.2735,1
seed_00141.png,Pearl Millet,52.02,10.06,58.32,103.85,4.931,0.829,0.0626,0
seed_00142.png,Little Millet,78.54,28.32,76.77,18.49,4.678,0.858,0.4002,0
seed_00143.png,Foxtail Millet,41.6,28.71,53.55,264.13,7.228,0.79,0.3328,1
seed_00144.png,Barnyard Millet,71.72,34.8,51.0,60.95,6.672,0.533,0.5964,1
seed_00145.png,Little Millet,60.27,22.11,61.26,204.52,7.826,0.577,0.2945,0
seed_00146.png,Little Millet,53.5,23.14,27.93,97.92,7.319,0.648,0.5549,0
seed_00147.png,Barnyard Millet,53.18,35.52,69.81,195.16,6.571,0.534,0.3737,1
seed_00148.png,Little Millet,56.8,28.86,60.93,67.59,5.819,0.869,0.8317,1
seed_00149.png,Pearl Millet,77.8,30.02,40.5,25.78,5.66,0.56,0.623,1
seed_00150.png,Foxtail Millet,39.17,24.12,48.81,108.75,7.816,0.426,0.2026,0
seed_00151.png,Little Millet,50.91,35.09,45.89,67.48,8.722,0.435,0.013,0
seed_00152.png,Foxtail Millet,47.77,34.03,47.23,32.88,5.293,0.447,0.3374,0
seed_00153.png,Little Millet,37.83,23.68,65.88,58.34,7.785,0.519,0.2444,0
seed_00154.png,Little Millet,79.75,26.37,66.82,55.6,6.149,0.825,0.7765,0
seed_00155.png,Foxtail Millet,47.33,27.59,42.33,60.54,5.195,0.489,0.2996,0
seed_00156.png,Proso Millet,67.86,19.91,85.69,18.23,5.834,0.876,0.7944,1
seed_00157.png,Kodo Millet,63.4,24.8,61.78,8.51,6.083,0.331,0.38,1
seed_00158.png,Pearl Millet,40.13,37.38,70.16,4.6,7.363,0.406,0.0954,0
seed_00159.png,Little Millet,65.49,26.85,61.64,16.49,8.781,0.688,0.1301,1
seed_00160.png,Kodo Millet,70.45,15.04,83.69,24.1,6.169,0.528,0.2605,0
seed_00161.png,Pearl Millet,49.48,35.3,55.46,53.68,6.083,0.444,0.5119,1
seed_00162.png,Little Millet,64.49,20.86,59.69,20.36,5.273,0.463,0.4391,0
seed_00163.png,Foxtail Millet,83.94,28.25,57.9,16.94,5.409,0.284,0.2196,0
seed_00164.png,Pearl Millet,76.34,32.76,54.75,72.52,5.624,0.469,0.588,1
seed_00165.png,Foxtail Millet,52.59,27.27,54.74,10.42,5.98,0.453,0.5288,1
seed_00166.png,Kodo Millet,63.92,37.69,58.28,68.66,4.968,0.854,0.3688,1
seed_00167.png,Barnyard Millet,8.0,31.78,63.22,146.62,5.144,0.791,0.01,0
seed_00168.png,Proso Millet,31.01,35.14,47.66,55.98,6.088,0.337,0.1207,1
seed_00169.png,Finger Millet,46.42,26.79,60.29,56.71,6.783,0.263,0.3199,1
seed_00170.png,Pearl Millet,73.95,24.82,80.3,96.34,6.884,0.406,0.5622,0
seed_00171.png,Proso Millet,44.21,31.65,88.93,3.53,7.406,0.69,0.3681,0
seed_00172.png,Little Millet,17.71,27.08,60.9,70.58,5.659,0.713,0.0568,1
seed_00173.png,Barnyard Millet,93.2,32.5,40.41,151.44,6.2,0.607,0.2634,0
seed_00174.png,Proso Millet,51.4,19.61,58.88,15.86,6.391,0.272,0.2865,0
seed_00175.png,Foxtail Millet,77.38,24.58,98.0,135.86,6.41,0.729,0.5564,1
seed_00176.png,Foxtail Millet,79.95,23.85,81.89,25.93,6.039,0.946,0.7859,1
seed_00177.png,Proso Millet,48.92,35.11,73.61,69.97,5.739,0.834,0.5762,1
seed_00178.png,Little Millet,77.69,33.71,55.05,40.57,8.562,0.961,0.1684,0
seed_00179.png,Barnyard Millet,64.54,35.95,76.89,106.34,5.149,0.533,0.23,0
seed_00180.png,Proso Millet,76.64,29.64,37.37,2.59,6.721,0.959,0.8411,1
seed_00181.png,Finger Millet,40.77,41.61,67.9,225.34,6.803,0.572,0.0288,0
seed_00182.png,Barnyard Millet,73.62,29.19,50.0,26.77,7.771,0.684,0.599,1
seed_00183.png,Pearl Millet,55.13,25.6,45.05,114.06,7.829,0.428,0.2584,0
seed_00184.png,Foxtail Millet,55.71,25.94,62.41,3.32,7.539,0.861,0.7586,0
seed_00185.png,Little Millet,45.62,23.9,65.95,50.15,6.062,0.421,0.3375,0
seed_00186.png,Foxtail Millet,48.85,34.74,71.77,33.81,8.077,0.754,0.1464,0
seed_00187.png,Pearl Millet,39.94,15.83,60.02,88.59,8.675,0.823,0.0406,0
seed_00188.png,Little Millet,31.92,22.99,67.19,20.1,6.503,0.408,0.1389,0
seed_00189.png,Pearl Millet,34.82,30.56,79.28,46.68,6.381,0.62,0.538,1
seed_00190.png,Proso Millet,73.52,15.13,57.4,177.31,6.6,0.67,0.3379,0
seed_00191.png,Barnyard Millet,78.59,25.54,51.48,41.77,5.977,0.836,0.7756,1
seed_00192.png,Proso Millet,56.55,25.06,71.47,49.75,7.252,0.508,0.5804,0
seed_00193.png,Barnyard Millet,64.57,35.18,66.79,102.45,6.66,0.779,0.7312,0
seed_00194.png,Pearl Millet,69.86,30.07,32.77,49.88,7.369,0.795,0.7792,1
seed_00195.png,Foxtail Millet,40.29,26.48,81.48,19.14,5.685,0.361,0.2109,0
seed_00196.png,Barnyard Millet,55.96,19.43,78.64,23.58,6.744,0.503,0.4122,0
seed_00197.png,Proso Millet,79.92,46.0,78.77,10.18,7.094,0.858,0.0139,1
seed_00198.png,Pearl Millet,66.39,26.32,36.96,90.02,5.919,0.787,0.8399,1
seed_00199.png,Pearl Millet,62.91,16.35,67.74,59.1,5.713,0.885,0.6863,1
seed_00200.png,Barnyard Millet,64.92,35.88,43.28,32.61,7.18,0.52,0.4339,0
seed_00201.png,Pearl Millet,30.55,28.38,58.07,0.28,6.236,0.453,0.2648,0
seed_00202.png,Finger Millet,83.42,32.24,88.92,87.19,7.727,0.723,0.3346,0
seed_00203.png,Foxtail Millet,68.38,24.69,75.52,26.99,5.263,0.496,0.4113,1
seed_00204.png,Proso Millet,49.07,15.65,49.19,28.82,7.592,0.644,0.2151,0
seed_00205.png,Barnyard Millet,85.04,9.48,55.71,0.03,7.587,0.664,0.01,0
seed_00206.png,Finger Millet,56.29,8.0,56.79,47.17,6.619,0.452,0.0142,0
seed_00207.png,Foxtail Millet,37.36,31.54,70.31,63.08,6.046,0.13,0.1167,0
seed_00208.png,Kodo Millet,46.79,29.22,65.16,70.61,4.38,0.68,0.1443,0
seed_00209.png,Foxtail Millet,50.04,16.34,94.54,54.25,8.099,0.992,0.134,0
seed_00210.png,Proso Millet,25.4,34.62,59.32,1.34,7.643,0.655,0.0489,0
seed_00211.png,Pearl Millet,71.54,24.38,49.01,46.15,6.223,0.859,0.8754,1
seed_00212.png,Kodo Millet,58.2,22.94,62.64,60.78,5.418,0.22,0.3228,0
seed_00213.png,Kodo Millet,75.72,32.29,17.43,52.53,7.698,0.897,0.2113,0
seed_00214.png,Pearl Millet,55.02,34.67,74.08,12.7,6.43,0.72,0.7318,0
seed_00215.png,Barnyard Millet,64.65,35.47,98.0,20.1,6.166,0.737,0.4427,1
seed_00216.png,Proso Millet,80.44,35.69,67.04,70.66,5.753,0.181,0.2129,0
seed_00217.png,Kodo Millet,45.07,36.36,63.97,43.7,6.852,0.82,0.4418,1
seed_00218.png,Foxtail Millet,63.9,24.75,64.18,24.2,7.955,0.654,0.4607,1
seed_00219.png,Kodo Millet,88.49,25.82,98.0,48.38,6.859,0.515,0.2335,0
seed_00220.png,Barnyard Millet,76.55,14.3,34.97,10.73,6.109,0.407,0.0386,0
seed_00221.png,Kodo Millet,57.87,20.75,81.88,14.55,4.766,0.389,0.1493,0
seed_00222.png,Little Millet,64.81,38.99,66.9,164.26,5.803,0.82,0.3558,0
seed_00223.png,Kodo Millet,68.31,29.19,46.57,45.22,6.615,0.541,0.6326,1
seed_00224.png,Pearl Millet,46.06,20.23,59.17,6.18,6.183,0.842,0.6248,1
seed_00225.png,Barnyard Millet,32.11,17.24,47.88,38.43,5.954,0.296,0.0446,0
seed_00226.png,Pearl Millet,56.37,22.96,56.83,63.26,4.733,0.43,0.2082,0
seed_00227.png,Foxtail Millet,92.34,24.87,63.96,31.81,5.545,0.526,0.1744,1
seed_00228.png,Foxtail Millet,61.02,21.26,71.83,142.4,7.733,0.678,0.5412,0
seed_00229.png,Kodo Millet,50.48,22.7,60.07,18.8,6.967,0.718,0.5846,1
seed_00230.png,Barnyard Millet,60.13,17.01,63.81,50.19,7.453,0.84,0.4018,0
seed_00231.png,Finger Millet,44.55,26.71,47.77,272.11,5.096,0.533,0.0922,0
seed_00232.png,Finger Millet,64.64,33.11,58.54,15.38,7.546,0.744,0.6161,0
seed_00233.png,Kodo Millet,72.98,26.87,38.6,161.84,6.889,0.743,0.7627,1
seed_00234.png,Proso Millet,55.47,28.09,78.79,124.94,5.198,0.757,0.71,1
seed_00235.png,Little Millet,48.47,41.42,42.07,7.1,5.166,0.675,0.0447,1
seed_00236.png,Proso Millet,46.03,25.77,63.31,50.74,6.84,0.461,0.5876,0
seed_00237.png,Little Millet,85.57,38.01,65.75,102.27,5.124,0.492,0.0394,0
seed_00238.png,Pearl Millet,65.95,21.67,57.14,15.84,6.807,0.76,0.7643,0
seed_00239.png,Little Millet,36.57,31.76,54.26,79.28,5.773,0.669,0.2292,0
seed_00240.png,Barnyard Millet,42.5,31.63,50.18,229.49,3.8,0.514,0.01,0
seed_00241.png,Little Millet,35.79,26.13,58.85,25.37,6.753,0.681,0.3774,0
seed_00242.png,Barnyard Millet,63.54,29.16,80.38,43.43,5.303,0.666,0.5334,1
seed_00243.png,Foxtail Millet,92.85,34.1,81.54,31.62,7.093,0.798,0.3535,0
seed_00244.png,Kodo Millet,48.74,25.48,83.51,26.94,5.821,0.623,0.6204,1
seed_00245.png,Proso Millet,76.19,36.46,50.17,21.51,7.128,0.665,0.3525,0
seed_00246.png,Foxtail Millet,69.28,34.44,97.05,3.78,6.178,0.749,0.5062,0
seed_00247.png,Proso Millet,62.05,25.74,66.89,79.77,6.122,0.893,0.8913,1
seed_00248.png,Little Millet,46.63,26.13,73.72,7.58,7.559,0.443,0.2074,0
seed_00249.png,Little Millet,61.17,32.7,95.61,138.41,5.293,0.389,0.163,0
seed_00250.png,Little Millet,81.48,25.87,64.11,13.4,5.694,0.658,0.4571,1
seed_00251.png,Kodo Millet,67.48,17.81,77.19,117.18,7.588,0.748,0.3553,1
seed_00252.png,Finger Millet,23.31,34.47,42.81,16.94,5.965,0.791,0.0758,0
seed_00253.png,Kodo Millet,74.19,27.51,55.41,66.04,8.186,0.39,0.1665,0
seed_00254.png,Little Millet,40.15,27.6,54.75,56.46,5.372,0.509,0.2068,1
seed_00255.png,Proso Millet,70.56,29.46,66.66,22.99,5.672,0.741,0.8033,1
seed_00256.png,Proso Millet,57.62,15.86,93.28,13.86,6.298,0.74,0.2497,0
seed_00257.png,Foxtail Millet,63.81,24.01,67.32,52.81,7.278,0.65,0.632,1
seed_00258.png,Proso Millet,74.69,22.61,53.11,29.02,7.466,0.572,0.4438,0
seed_00259.png,Finger Millet,35.57,31.43,53.33,78.12,7.001,0.536,0.2821,0
seed_00260.png,Proso Millet,81.11,23.38,62.71,78.3,6.674,0.782,0.7889,1
seed_00261.png,Kodo Millet,68.88,15.34,61.39,4.44,6.092,0.559,0.3797,1
seed_00262.png,Barnyard Millet,54.08,18.14,98.0,91.72,7.09,0.366,0.1801,0
seed_00263.png,Finger Millet,71.38,23.94,71.9,42.74,6.065,0.686,0.8425,0
seed_00264.png,Little Millet,56.77,34.15,62.88,94.81,5.809,0.461,0.2858,0
seed_00265.png,Pearl Millet,48.31,29.68,70.89,105.94,6.761,0.41,0.5181,0
seed_00266.png,Little Millet,36.85,28.72,58.53,15.01,6.549,0.776,0.5822,1
seed_00267.png,Barnyard Millet,75.29,31.21,65.08,0.47,7.413,0.542,0.4983,1
seed_00268.png,Pearl Millet,45.28,11.34,60.99,10.21,5.628,0.724,0.0829,0
seed_00269.png,Kodo Millet,49.14,33.27,90.84,12.45,4.655,0.653,0.1123,0
seed_00270.png,Finger Millet,38.83,26.41,58.52,13.44,4.588,0.65,0.173,1
seed_00271.png,Pearl Millet,86.06,34.54,92.06,50.25,5.548,0.609,0.3909,0
seed_00272.png,Proso Millet,73.14,14.88,63.83,42.25,6.863,0.728,0.3402,0
seed_00273.png,Little Millet,52.31,31.97,97.63,2.27,6.35,0.709,0.5102,1
seed_00274.png,Kodo Millet,49.29,34.6,54.23,215.96,6.605,0.818,0.4309,1
seed_00275.png,Proso Millet,66.53,34.6,79.91,31.84,7.422,0.744,0.5708,1
seed_00276.png,Finger Millet,46.25,28.61,56.44,134.35,5.129,0.524,0.3508,0
seed_00277.png,Finger Millet,64.89,23.79,73.93,33.69,5.219,0.691,0.5816,1
seed_00278.png,Little Millet,82.48,28.47,78.64,56.25,5.743,0.692,0.5455,0
seed_00279.png,Proso Millet,63.72,32.05,49.98,30.4,5.052,0.702,0.7031,0
seed_00280.png,Foxtail Millet,42.03,26.77,60.01,8.23,8.087,0.915,0.3924,0
seed_00281.png,Pearl Millet,62.76,27.62,89.23,38.2,7.676,0.966,0.8357,1
seed_00282.png,Kodo Millet,50.92,15.28,44.16,89.76,6.156,0.394,0.1763,0
seed_00283.png,Little Millet,61.8,26.94,75.3,53.38,7.802,0.613,0.4361,0
seed_00284.png,Kodo Millet,62.76,29.34,71.68,22.65,6.522,0.897,0.9095,1
seed_00285.png,Foxtail Millet,73.84,24.79,70.98,9.84,6.423,0.611,0.5722,0
seed_00286.png,Kodo Millet,80.21,38.86,63.03,12.62,6.468,0.671,0.2771,0
seed_00287.png,Kodo Millet,51.88,29.67,36.35,173.75,6.949,0.427,0.326,0
seed_00288.png,Finger Millet,68.49,33.9,87.53,1.76,7.029,0.672,0.5479,1
seed_00289.png,Pearl Millet,37.71,31.34,78.89,37.85,6.336,0.771,0.4684,1
seed_00290.png,Foxtail Millet,86.08,28.0,98.0,5.29,4.331,0.84,0.204,0
seed_00291.png,Foxtail Millet,61.18,21.49,53.85,16.71,7.318,0.888,0.7675,1
seed_00292.png,Pearl Millet,62.01,28.94,91.41,115.92,4.747,0.77,0.4905,1
seed_00293.png,Kodo Millet,42.02,18.06,90.86,27.01,7.887,0.266,0.0552,0
seed_00294.png,Barnyard Millet,53.07,18.76,52.97,65.09,6.583,0.8,0.7412,0
seed_00295.png,Pearl Millet,43.02,39.05,68.21,100.12,5.73,0.56,0.2002,0
seed_00296.png,Pearl Millet,61.33,24.08,72.71,135.03,6.513,0.852,0.8765,1
seed_00297.png,Finger Millet,84.27,19.54,52.4,22.87,4.687,0.432,0.0241,0
