state,district,lat,lng,crime_rate,risk_score,risk_tier
CHHATTISGARH,KAWARDHA,22.0059254,81.2332055,100.0,8.39,low
CHHATTISGARH,KORBA,22.5198217,82.6350029,168.33333333333334,14.13,low
CHHATTISGARH,KORIYA,23.476254,82.4776374,190.41666666666666,15.98,low
CHHATTISGARH,MAHASAMUND,21.1922846,82.4890263,130.83333333333334,10.98,low
CHHATTISGARH,RAIGARH,22.2361795,83.3529534,190.83333333333334,16.02,low
CHHATTISGARH,RAIPUR,21.2380912,81.6336993,555.0833333333334,46.58,high
CHHATTISGARH,RAJNANDGAON,21.0684425,80.7970779,191.58333333333334,16.08,low
GOA,NORTH GOA,15.6038925,73.9967006,50.333333333333336,4.22,low
GOA,SOUTH GOA,15.3376121,73.9937035,47.583333333333336,3.99,low
GUJARAT,AHMEDABAD RURAL,22.5809103,72.9784557,166.5,13.97,low
GUJARAT,AHWA-DANG,20.7587262,73.6873533,11.333333333333334,0.95,low
GUJARAT,AMRELI,21.4176122,71.249609,206.33333333333334,17.32,low
GUJARAT,ANAND,22.4739858,72.7361779,243.16666666666666,20.41,medium
GUJARAT,BHARUCH,21.7080427,72.9956936,105.83333333333333,8.88,low
GUJARAT,BHAVNAGAR,21.7718836,72.1416449,363.3333333333333,30.49,medium
GUJARAT,DAHOD,22.9194099,74.1342725,87.58333333333333,7.35,low
GUJARAT,GANDHINAGAR,23.2232877,72.6492267,190.33333333333334,15.97,low
GUJARAT,HIMATNAGAR,23.5971246,72.9588273,280.8333333333333,23.57,medium
GUJARAT,JAMNAGAR,22.4732415,70.0552102,302.0,25.34,medium
GUJARAT,JUNAGADH,21.5220416,70.4582458,522.0,43.81,medium
GUJARAT,KUTCH,23.583333,70.0,310.1,26.02,medium
GUJARAT,MEHSANA,23.6012628,72.3741516,307.75,25.83,medium
GUJARAT,NARMADA,21.7392624,73.6262458,25.25,2.12,low
GUJARAT,NAVSARI,20.952407,72.9323831,48.0,4.03,low
GUJARAT,PALANPUR,24.1709794,72.4366375,341.4166666666667,28.65,medium
GUJARAT,PANCHMAHAL,22.6978099,73.5980682,216.16666666666666,18.14,medium
GUJARAT,PATAN,23.773753,71.6798581,191.33333333333334,16.06,low
GUJARAT,PORBANDAR,21.6505229,69.6565371,73.91666666666667,6.2,low
GUJARAT,SURAT RURAL,22.296681,73.2535718,88.66666666666667,7.44,low
GUJARAT,SURENDRANAGAR,22.8251395,71.6209736,191.83333333333334,16.1,low
GUJARAT,VADODARA RURAL,22.3108115,73.1657755,161.58333333333334,13.56,low
GUJARAT,VALSAD,20.4321957,73.1409893,59.166666666666664,4.97,low
HARYANA,AMBALA,30.3843674,76.770421,257.0,21.57,medium
HARYANA,BHIWANI,28.7931703,76.1391283,205.83333333333334,17.27,low
HARYANA,FARIDABAD,28.4031478,77.3105561,634.5833333333334,53.26,high
HARYANA,FATEHABAD,29.5359209,75.5752901,141.91666666666666,11.91,low
HARYANA,GURGAON,28.4646148,77.0299194,268.75,22.55,medium
HARYANA,HISSAR,29.839171,76.4373052,289.25,24.27,medium
HARYANA,JHAJJAR,28.5964461,76.6505366,196.08333333333334,16.46,low
HARYANA,JIND,29.3152073,76.314082,159.91666666666666,13.42,low
HARYANA,KAITHAL,29.7996588,76.3989903,188.0,15.78,low
HARYANA,KARNAL,29.7255766,76.9106924,306.6666666666667,25.74,medium
HARYANA,KURUKSHETRA,29.9693747,76.8482787,190.25,15.97,low
HARYANA,MAHENDRAGARH,28.1326971,76.1697448,112.41666666666667,9.43,low
HARYANA,PANCHKULA,30.6975401,76.8551066,123.5,10.36,low
HARYANA,PANIPAT,29.3912753,76.9771675,253.83333333333334,21.3,medium
HARYANA,REWARI,28.1956468,76.6165179,133.08333333333334,11.17,low
HARYANA,ROHTAK,28.9010899,76.5801935,205.75,17.27,low
HARYANA,SIRSA,29.6063041,74.9036568,189.41666666666666,15.9,low
HARYANA,SONIPAT,28.9953758,77.0233627,249.25,20.92,medium
HARYANA,YAMUNANAGAR,30.1231349,77.286329,197.0,16.53,low
HIMACHAL PRADESH,BILASPUR,31.3380959,76.7611631,75.0,6.29,low
HIMACHAL PRADESH,CHAMBA,32.6923316,76.1631552,59.166666666666664,4.97,low
HIMACHAL PRADESH,HAMIRPUR,31.6539866,76.5403633,65.08333333333333,5.46,low
HIMACHAL PRADESH,KANGRA,32.0768665,76.2985872,143.25,12.02,low
HIMACHAL PRADESH,KINNAUR,31.593013,78.3281417,14.75,1.24,low
HIMACHAL PRADESH,KULLU,31.9578974,77.1089232,65.41666666666667,5.49,low
HIMACHAL PRADESH,LAHAUL-SPITI,32.509934,77.0243657,2.6666666666666665,0.22,low
HIMACHAL PRADESH,MANDI,31.6516617,77.0092542,139.75,11.73,low
HIMACHAL PRADESH,SHIMLA,31.1040393,77.1707923,117.25,9.84,low
HIMACHAL PRADESH,SIRMAUR,30.6991321,77.4465304,73.08333333333333,6.13,low
HIMACHAL PRADESH,SOLAN,30.9077569,77.1023645,65.41666666666667,5.49,low
HIMACHAL PRADESH,UNA,31.5834642,76.2351452,59.083333333333336,4.96,low
JAMMU & KASHMIR,ANANTNAG,33.74611,75.1854475,200.41666666666666,16.82,low
JAMMU & KASHMIR,AWANTIPORA,33.91891,75.01465,43.25,3.63,low
JAMMU & KASHMIR,BARAMULLA,34.2086903,74.343498,235.25,19.74,medium
JAMMU & KASHMIR,BORDER,32.7514328,74.8235121,38.6,3.24,low
JAMMU & KASHMIR,BUDGAM,33.9098746,74.6270357,179.5,15.06,low
JAMMU & KASHMIR,CRIME JAMMU,34.0714255,74.8032176,0.0,0.0,low
JAMMU & KASHMIR,CRIME SRINAGAR,34.0714255,74.8032176,0.0,0.0,low
JAMMU & KASHMIR,DODA,33.1341373,75.587915,72.91666666666667,6.12,low
JAMMU & KASHMIR,GANDERBAL,34.2889322,75.0407983,99.83333333333333,8.38,low
JAMMU & KASHMIR,JAMMU,32.7185614,74.8580917,215.5,18.09,medium
JAMMU & KASHMIR,KARGIL,32.7045476,74.871206,4.166666666666667,0.35,low
JAMMU & KASHMIR,KATHUA,32.3765524,75.5243044,68.41666666666667,5.74,low
JAMMU & KASHMIR,KULGAM,33.6446899,75.0188432,107.16666666666667,8.99,low
JAMMU & KASHMIR,KUPWARA,34.5140696,74.191367,98.16666666666667,8.24,low
JAMMU & KASHMIR,LEH,34.0861163,74.8233795,9.083333333333334,0.76,low
JAMMU & KASHMIR,POONCH,33.7670004,74.0957143,68.0,5.71,low
JAMMU & KASHMIR,PULWAMA,33.9490472,75.0418335,78.5,6.59,low
JAMMU & KASHMIR,RAJOURI,33.3772495,74.3132332,118.0,9.9,low
JAMMU & KASHMIR,RAMBAN,33.2116371,75.2050989,30.5,2.56,low
JAMMU & KASHMIR,REASI,33.0691032,74.8378698,31.5,2.64,low
JAMMU & KASHMIR,SRINAGAR,34.0747444,74.8204443,437.3333333333333,36.7,medium
JAMMU & KASHMIR,UDHAMPUR,32.9219726,75.1331482,61.416666666666664,5.15,low
JHARKHAND,BOKARO,23.6991279,85.9910689,179.75,15.08,low
JHARKHAND,CHAIBASA,22.5483518,85.8188876,81.75,6.86,low
JHARKHAND,CHATRA,24.1062316,84.8623379,46.333333333333336,3.89,low
JHARKHAND,DEOGHAR,24.4898318,86.6990182,104.25,8.75,low
JHARKHAND,DHANBAD,23.7952809,86.4309638,210.5,17.67,low
JHARKHAND,DUMKA,24.2677937,87.2485495,136.58333333333334,11.46,low
JHARKHAND,GARHWA,24.053577,83.6526818,90.75,7.62,low
JHARKHAND,GIRIDIH,24.3314546,86.1548117,194.25,16.3,low
JHARKHAND,GODDA,24.8645886,87.2984838,108.25,9.08,low
JHARKHAND,GUMLA,23.1603759,84.4599565,81.5,6.84,low
JHARKHAND,HAZARIBAGH,24.0866962,85.4912231,202.0,16.95,low
JHARKHAND,JAMSHEDPUR,22.8015194,86.2029579,207.58333333333334,17.42,low
JHARKHAND,JAMTARA,23.9801639,86.9243637,64.25,5.39,low
JHARKHAND,KODERMA,24.4931239,85.5560811,63.333333333333336,5.32,low
JHARKHAND,LATEHAR,23.6880057,84.4969551,32.916666666666664,2.76,low
JHARKHAND,PAKUR,24.5325908,87.593232,87.66666666666667,7.36,low
JHARKHAND,PALAMU,24.2212983,84.1725565,105.16666666666667,8.83,low
JHARKHAND,RANCHI,23.3700501,85.3250387,215.66666666666666,18.1,medium
JHARKHAND,SAHEBGANJ,25.0320437,87.691764,113.33333333333333,9.51,low
JHARKHAND,SARAIKELA,22.7464225,85.9168929,64.66666666666667,5.43,low
JHARKHAND,SIMDEGA,22.5904573,84.5464805,37.833333333333336,3.18,low
KARNATAKA,BAGALKOT,16.1793224,75.6999315,131.5,11.04,low
KARNATAKA,BANGALORE RURAL,13.0010872,77.3361225,243.08333333333334,20.4,medium
KARNATAKA,BELGAUM,15.8572666,74.5069343,389.6666666666667,32.7,medium
KARNATAKA,BELLARY,15.1430224,76.9173277,163.08333333333334,13.69,low
KARNATAKA,BIDAR,18.0207297,77.2487204,160.83333333333334,13.5,low
KARNATAKA,BIJAPUR,16.8269911,75.7175387,225.08333333333334,18.89,medium
KARNATAKA,CHAMARAJNAGAR,11.8073312,76.6923569,92.0,7.72,low
KARNATAKA,CHITRADURGA,14.3049174,76.5296667,173.58333333333334,14.57,low
KARNATAKA,DAKSHIN KANNADA,13.1008396,77.585375,102.0,8.56,low
KARNATAKA,DAVANAGERE,14.2558835,75.8303421,203.41666666666666,17.07,low
KARNATAKA,DHARWAD RURAL,15.4719607,74.9893499,46.333333333333336,3.89,low
KARNATAKA,GADAG,15.416692,75.6815801,65.41666666666667,5.49,low
KARNATAKA,GULBARGA,17.3310003,76.8334228,303.0833333333333,25.44,medium
KARNATAKA,HASSAN,13.0301852,76.1744968,222.08333333333334,18.64,medium
KARNATAKA,HAVERI,14.7180268,75.3656423,94.16666666666667,7.9,low
KARNATAKA,K.G.F.,13.0812545,78.3588533,51.083333333333336,4.29,low
KARNATAKA,KODAGU,12.3827332,75.6640715,79.16666666666667,6.64,low
KARNATAKA,KOLAR,13.1805066,78.2669329,113.75,9.55,low
KARNATAKA,KOPPAL,15.5748238,76.3118494,92.16666666666667,7.73,low
KARNATAKA,MANDYA,12.6368939,76.7275477,236.83333333333334,19.88,medium
KARNATAKA,MYSORE RURAL,13.1991952,77.7085698,223.08333333333334,18.72,medium
KARNATAKA,RAICHUR,16.0547194,76.9003647,233.91666666666666,19.63,medium
KARNATAKA,RAILWAYS,15.3552989,75.1459121,3.25,0.27,low
KARNATAKA,SHIMOGA,14.0556503,75.2380553,325.25,27.3,medium
KARNATAKA,TUMKUR,13.3400771,77.1006208,198.91666666666666,16.69,low
KARNATAKA,UDUPI,13.5269784,74.8731879,60.333333333333336,5.06,low
KERALA,ALAPUZHA,9.5649344,76.5444815,461.6666666666667,38.74,medium
KERALA,ERNAKULAM,9.9837257,76.2740001,383.0,32.14,medium
KERALA,IDUKKI,9.8154785,76.9991599,348.9166666666667,29.28,medium
KERALA,KANNUR,11.8763836,75.3737973,423.8333333333333,35.57,medium
KERALA,KASARGOD,12.4914722,74.9877613,278.5833333333333,23.38,medium
KERALA,KOLLAM,8.8870533,76.5906696,792.7,66.52,high
KERALA,KOTTAYAM,9.6287383,76.6455326,448.0,37.6,medium
KERALA,KOZHIKODE,11.2450558,75.7754716,520.0,43.64,medium
KERALA,MALAPPURAM,11.1065685,76.1101742,750.1666666666666,62.96,high
KERALA,PALAKKAD,10.7873692,76.4742172,484.25,40.64,medium
KERALA,PATHANAMTHITTA,9.2780841,76.9737443,315.5833333333333,26.48,medium
KERALA,RAILWAYS,9.9464243,76.3008895,13.666666666666666,1.15,low
KERALA,THRISSUR,10.5270099,76.214621,549.8,46.14,high
KERALA,TRIVANDRUM,8.4882267,76.947551,728.5,61.14,high
KERALA,WAYANADU,10.8942004,75.927851,204.0,17.12,low
MADHYA PRADESH,BALAGHAT,21.8611589,80.3237105,273.8333333333333,22.98,medium
MADHYA PRADESH,BARWANI,21.7514248,74.8915957,153.25,12.86,low
MADHYA PRADESH,BETUL,21.8797472,77.8753651,390.5833333333333,32.78,medium
MADHYA PRADESH,BHIND,26.3518828,78.6863189,209.25,17.56,low
MADHYA PRADESH,BHOPAL,23.2584857,77.401989,590.5833333333334,49.56,high
MADHYA PRADESH,CHHATARPUR,24.7606089,79.6781776,359.9166666666667,30.2,medium
MADHYA PRADESH,CHHINDWARA,22.2071897,78.798833,483.0,40.53,medium
MADHYA PRADESH,DAMOH,23.7981005,79.5419356,308.9166666666667,25.92,medium
MADHYA PRADESH,DATIYA,23.9348098,79.6440203,138.33333333333334,11.61,low
MADHYA PRADESH,DEWAS,22.8057498,76.2940408,493.6666666666667,41.43,medium
MADHYA PRADESH,DHAR,22.5786572,75.2258637,442.0,37.09,medium
MADHYA PRADESH,DINDORI,22.9070871,80.8846924,112.58333333333333,9.45,low
MADHYA PRADESH,GUNA,24.5001772,77.2600959,349.75,29.35,medium
MADHYA PRADESH,GWALIOR,26.2037247,78.1573628,480.0,40.28,medium
MADHYA PRADESH,HARDA,22.2427973,77.1179173,108.41666666666667,9.1,low
MADHYA PRADESH,HOSHANGABAD,22.7545538,77.7198249,299.75,25.16,medium
MADHYA PRADESH,INDORE,22.7203616,75.8681996,866.0,72.68,high
MADHYA PRADESH,JABALPUR,23.1701522,79.9324505,654.5833333333334,54.93,high
MADHYA PRADESH,JHABUA,22.8869652,74.7243249,158.0,13.26,low
MADHYA PRADESH,KATNI,23.7176393,80.2610181,267.5833333333333,22.46,medium
MADHYA PRADESH,KHANDWA,21.9769779,76.5675344,314.0833333333333,26.36,medium
MADHYA PRADESH,KHARGON,21.8322667,75.6179653,309.75,25.99,medium
MADHYA PRADESH,MANDLA,22.6871074,80.5816341,200.58333333333334,16.83,low
MADHYA PRADESH,MANDSAUR,24.2628148,75.385692,258.4166666666667,21.69,medium
MADHYA PRADESH,MORENA,26.3849794,77.8612721,240.58333333333334,20.19,medium
MADHYA PRADESH,NARSINGHPUR,22.934556,79.0867849,286.5,24.04,medium
MADHYA PRADESH,NEEMUCH,24.6305517,75.1829,154.16666666666666,12.94,low
MADHYA PRADESH,PANNA,24.4498931,80.1462723,169.41666666666666,14.22,low
MADHYA PRADESH,RAISEN,23.2675909,78.1727134,365.75,30.69,medium
MADHYA PRADESH,RAJGARH,23.8716707,76.7744703,400.4166666666667,33.6,medium
MADHYA PRADESH,RATLAM,23.50222,74.9551534,324.5,27.23,medium
MADHYA PRADESH,REWA,24.7560846,81.3810574,318.8333333333333,26.76,medium
MADHYA PRADESH,SAGAR,23.8083076,78.758254,746.3333333333334,62.63,high
MADHYA PRADESH,SATNA,24.6954445,80.7770348,407.0833333333333,34.16,medium
MADHYA PRADESH,SEONI,22.2748109,79.7202522,223.75,18.78,medium
MADHYA PRADESH,SHAHDOL,23.3002343,81.364771,340.0,28.53,medium
MADHYA PRADESH,SHAJAPUR,23.4171002,76.6074794,326.25,27.38,medium
MADHYA PRADESH,SHEOPUR,25.7499267,76.9212945,87.08333333333333,7.31,low
MADHYA PRADESH,SHIVPURI,25.3741215,77.8278866,295.0,24.76,medium
MADHYA PRADESH,SIDHI,24.2112687,81.7000415,262.4166666666667,22.02,medium
MADHYA PRADESH,SIHORE,25.6724156,78.1043815,261.5833333333333,21.95,medium
MADHYA PRADESH,TIKAMGARH,24.8552105,79.0472546,263.1666666666667,22.09,medium
MADHYA PRADESH,UJJAIN,23.1885131,75.7716562,498.4166666666667,41.83,medium
MADHYA PRADESH,UMARIYA,23.8699867,79.5527381,120.91666666666667,10.15,low
MADHYA PRADESH,VIDISHA,23.8463004,77.8370209,427.4166666666667,35.87,medium
MAHARASHTRA,AHMEDNAGAR,19.092952,74.7493451,664.5833333333334,55.77,high
MAHARASHTRA,AKOLA,20.7618122,77.1921157,324.0,27.19,medium
MAHARASHTRA,AMRAVATI RURAL,21.4564599,78.2268091,368.5833333333333,30.93,medium
MAHARASHTRA,AURANGABAD RURAL,19.8993677,75.3530128,364.6666666666667,30.6,medium
MAHARASHTRA,BEED,18.9918442,75.909784,446.5833333333333,37.48,medium
MAHARASHTRA,BHANDARA,21.1225869,79.794509,185.83333333333334,15.6,low
MAHARASHTRA,BULDHANA,20.562845,76.4086986,432.8333333333333,36.32,medium
MAHARASHTRA,CHANDRAPUR,20.0967555,79.5045475,372.5,31.26,medium
MAHARASHTRA,DHULE,21.1305215,74.4900614,241.25,20.25,medium
MAHARASHTRA,GADCHIROLI,19.7590704,80.1622807,121.58333333333333,10.2,low
MAHARASHTRA,GONDIA,21.455228,80.1962729,204.91666666666666,17.2,low
MAHARASHTRA,HINGOLI,19.5431163,77.1739432,172.83333333333334,14.5,low
MAHARASHTRA,JALGAON,20.8428827,75.5261246,564.6666666666666,47.39,high
MAHARASHTRA,JALNA,19.918833,75.8708599,373.75,31.37,medium
MAHARASHTRA,KOLHAPUR,16.7028412,74.2405329,242.91666666666666,20.39,medium
MAHARASHTRA,LATUR,18.3553347,76.7548997,281.8333333333333,23.65,medium
MAHARASHTRA,MUMBAI,19.054999,72.8692035,850.2,71.35,high
MAHARASHTRA,NAGPUR RURAL,21.138207,78.8107311,309.0833333333333,25.94,medium
MAHARASHTRA,NANDED,19.0942729,77.4832628,440.25,36.95,medium
MAHARASHTRA,NANDURBAR,21.5141622,74.5405513,146.16666666666666,12.27,low
MAHARASHTRA,NAVI MUMBAI,19.0308262,73.0198537,157.91666666666666,13.25,low
MAHARASHTRA,OSMANABAD,18.2822454,76.0588166,254.66666666666666,21.37,medium
MAHARASHTRA,PARBHANI,19.2901981,76.6026443,276.4166666666667,23.2,medium
MAHARASHTRA,PUNE RURAL,18.5435175,73.8220743,392.1666666666667,32.91,medium
MAHARASHTRA,RAIGAD,18.4928092,73.138071,132.0,11.08,low
MAHARASHTRA,RATNAGIRI,17.2826079,73.4569787,126.08333333333333,10.58,low
MAHARASHTRA,SANGLI,17.1726928,74.5867654,211.16666666666666,17.72,low
MAHARASHTRA,SATARA,17.6361289,74.2982781,311.25,26.12,medium
MAHARASHTRA,SINDHUDURG,16.1357193,73.6522086,47.75,4.01,low
MAHARASHTRA,WARDHA,20.8256231,78.6131455,280.25,23.52,medium
MAHARASHTRA,WASHIM,20.2874178,77.2369655,237.75,19.95,medium
MAHARASHTRA,YAVATMAL,20.0638677,78.3565663,452.0833333333333,37.94,medium
MANIPUR,BISHNUPUR,24.6267287,93.7600454,21.333333333333332,1.79,low
MANIPUR,CHANDEL,24.3312009,94.0011081,0.9166666666666666,0.08,low
MANIPUR,CHURACHANDPUR,24.3468839,93.6994143,4.5,0.38,low
MANIPUR,IMPHAL(EAST),24.8326698,94.0168859,23.6,1.98,low
MANIPUR,IMPHAL(WEST),24.7590802,93.8617365,59.6,5.0,low
MANIPUR,SENAPATI,25.3933697,94.1501773,1.5,0.13,low
MANIPUR,TAMENGLONG,24.9858596,93.5039967,0.3333333333333333,0.03,low
MANIPUR,THOUBAL,24.6386954,93.996871,45.916666666666664,3.85,low
MANIPUR,UKHRUL,25.0978641,94.3610713,1.0833333333333333,0.09,low
MEGHALAYA,GARO HILLS EAST,25.5,90.5,5.5,0.46,low
MEGHALAYA,GARO HILLS SOUTH,25.518425,90.1842421,3.8333333333333335,0.32,low
MEGHALAYA,GARO HILLS WEST,25.5201097,90.2187809,31.083333333333332,2.61,low
MEGHALAYA,JAINTIA HILLS,25.5,92.25,27.083333333333332,2.27,low
