state,district,lat,lng
KERALA,IDUKKI,9.8154785,76.9991599
KERALA,KANNUR,11.8763836,75.3737973
KERALA,KASARGOD,12.4914722,74.9877613
KERALA,KOLLAM,8.8870533,76.5906696
KERALA,KOTTAYAM,9.6287383,76.6455326
KERALA,KOZHIKODE,11.2450558,75.7754716
KERALA,MALAPPURAM,11.1065685,76.1101742
KERALA,PALAKKAD,10.7873692,76.4742172
KERALA,PATHANAMTHITTA,9.2780841,76.9737443
KERALA,RAILWAYS,9.9464243,76.3008895
KERALA,THRISSUR,10.5270099,76.214621
KERALA,TRIVANDRUM,8.4882267,76.947551
KERALA,WAYANADU,10.8942004,75.927851
MADHYA PRADESH,BALAGHAT,21.8611589,80.3237105
MADHYA PRADESH,BARWANI,21.7514248,74.8915957
MADHYA PRADESH,BETUL,21.8797472,77.8753651
MADHYA PRADESH,BHIND,26.3518828,78.6863189
MADHYA PRADESH,BHOPAL,23.2584857,77.401989
MADHYA PRADESH,CHHATARPUR,24.7606089,79.6781776
MADHYA PRADESH,CHHINDWARA,22.2071897,78.798833
MADHYA PRADESH,DAMOH,23.7981005,79.5419356
MADHYA PRADESH,DATIYA,23.9348098,79.6440203
MADHYA PRADESH,DEWAS,22.8057498,76.2940408
MADHYA PRADESH,DHAR,22.5786572,75.2258637
MADHYA PRADESH,DINDORI,22.9070871,80.8846924
MADHYA PRADESH,GUNA,24.5001772,77.2600959
MADHYA PRADESH,GWALIOR,26.2037247,78.1573628
MADHYA PRADESH,HARDA,22.2427973,77.1179173
MADHYA PRADESH,HOSHANGABAD,22.7545538,77.7198249
MADHYA PRADESH,INDORE,22.7203616,75.8681996
MADHYA PRADESH,JABALPUR,23.1701522,79.9324505
MADHYA PRADESH,JHABUA,22.8869652,74.7243249
MADHYA PRADESH,KATNI,23.7176393,80.2610181
MADHYA PRADESH,KHANDWA,21.9769779,76.5675344
MADHYA PRADESH,KHARGON,21.8322667,75.6179653
MADHYA PRADESH,MANDLA,22.6871074,80.5816341
MADHYA PRADESH,MANDSAUR,24.2628148,75.385692
MADHYA PRADESH,MORENA,26.3849794,77.8612721
MADHYA PRADESH,NARSINGHPUR,22.934556,79.0867849
MADHYA PRADESH,NEEMUCH,24.6305517,75.1829
MADHYA PRADESH,PANNA,24.4498931,80.1462723
MADHYA PRADESH,RAISEN,23.2675909,78.1727134
MADHYA PRADESH,RAJGARH,23.8716707,76.7744703
MADHYA PRADESH,RATLAM,23.50222,74.9551534
MADHYA PRADESH,REWA,24.7560846,81.3810574
MADHYA PRADESH,SAGAR,23.8083076,78.758254
MADHYA PRADESH,SATNA,24.6954445,80.7770348
MADHYA PRADESH,SEONI,22.2748109,79.7202522
MADHYA PRADESH,SHAHDOL,23.3002343,81.364771
MADHYA PRADESH,SHAJAPUR,23.4171002,76.6074794
MADHYA PRADESH,SHEOPUR,25.7499267,76.9212945
MADHYA PRADESH,SHIVPURI,25.3741215,77.8278866
MADHYA PRADESH,SIDHI,24.2112687,81.7000415
MADHYA PRADESH,SIHORE,25.6724156,78.1043815
MADHYA PRADESH,TIKAMGARH,24.8552105,79.0472546
MADHYA PRADESH,UJJAIN,23.1885131,75.7716562
MADHYA PRADESH,UMARIYA,23.8699867,79.5527381
MADHYA PRADESH,VIDISHA,23.8463004,77.8370209
MAHARASHTRA,AHMEDNAGAR,19.092952,74.7493451
MAHARASHTRA,AKOLA,20.7618122,77.1921157
MAHARASHTRA,AMRAVATI RURAL,21.4564599,78.2268091
MAHARASHTRA,AURANGABAD RURAL,19.8993677,75.3530128
MAHARASHTRA,BEED,18.9918442,75.909784
MAHARASHTRA,BHANDARA,21.1225869,79.794509
MAHARASHTRA,BULDHANA,20.562845,76.4086986
MAHARASHTRA,CHANDRAPUR,20.0967555,79.5045475
MAHARASHTRA,DHULE,21.1305215,74.4900614
MAHARASHTRA,GADCHIROLI,19.7590704,80.1622807
MAHARASHTRA,GONDIA,21.455228,80.1962729
MAHARASHTRA,HINGOLI,19.5431163,77.1739432
MAHARASHTRA,JALGAON,20.8428827,75.5261246
MAHARASHTRA,JALNA,19.918833,75.8708599
MAHARASHTRA,KOLHAPUR,16.7028412,74.2405329
MAHARASHTRA,LATUR,18.3553347,76.7548997
MAHARASHTRA,MUMBAI,19.054999,72.8692035
MAHARASHTRA,NAGPUR RURAL,21.138207,78.8107311
MAHARASHTRA,NANDED,19.0942729,77.4832628
MAHARASHTRA,NANDURBAR,21.5141622,74.5405513
MAHARASHTRA,NAVI MUMBAI,19.0308262,73.0198537
MAHARASHTRA,OSMANABAD,18.2822454,76.0588166
MAHARASHTRA,PARBHANI,19.2901981,76.6026443
MAHARASHTRA,PUNE RURAL,18.5435175,73.8220743
MAHARASHTRA,RAIGAD,18.4928092,73.138071
MAHARASHTRA,RATNAGIRI,17.2826079,73.4569787
MAHARASHTRA,SANGLI,17.1726928,74.5867654
MAHARASHTRA,SATARA,17.6361289,74.2982781
MAHARASHTRA,SINDHUDURG,16.1357193,73.6522086
MAHARASHTRA,WARDHA,20.8256231,78.6131455
MAHARASHTRA,WASHIM,20.2874178,77.2369655
MAHARASHTRA,YAVATMAL,20.0638677,78.3565663
MANIPUR,BISHNUPUR,24.6267287,93.7600454
MANIPUR,CHANDEL,24.3312009,94.0011081
MANIPUR,CHURACHANDPUR,24.3468839,93.6994143
MANIPUR,IMPHAL(EAST),24.8326698,94.0168859
MANIPUR,IMPHAL(WEST),24.7590802,93.8617365
MANIPUR,SENAPATI,25.3933697,94.1501773
MANIPUR,TAMENGLONG,24.9858596,93.5039967
MANIPUR,THOUBAL,24.6386954,93.996871
MANIPUR,UKHRUL,25.0978641,94.3610713
MEGHALAYA,GARO HILLS EAST,25.5,90.5
MEGHALAYA,GARO HILLS SOUTH,25.518425,90.1842421
MEGHALAYA,GARO HILLS WEST,25.5201097,90.2187809
MEGHALAYA,JAINTIA HILLS,25.5,92.25
MEGHALAYA,KHASI HILLS EAST,25.5649963,91.8841484
MEGHALAYA,KHASI HILLS WEST,25.5399654,91.4721652
MEGHALAYA,RI-BHOI,25.8764026,91.8567574
MIZORAM,AIZAWL,23.7277631,92.7179947
MIZORAM,CHAMPHAI,23.6317319,93.3493185
MIZORAM,KOLASIB,24.1905469,92.7136595
MIZORAM,LAWNGTLAI,22.3913377,92.7397189
MIZORAM,LUNGLEI,22.9519972,92.6336207
MIZORAM,MAMIT,23.7564387,92.4515374
MIZORAM,SAIHA,22.2876724,93.01336
MIZORAM,SERCHHIP,23.3052514,92.8455124
NAGALAND,DIMAPUR,25.9041378,93.7177609
NAGALAND,KIPHIRE,25.8117088,94.8474036
NAGALAND,KOHIMA,25.6618755,94.1019156
NAGALAND,MOKOKCHUNG,26.4795861,94.5105275
NAGALAND,MON,26.666667,95.0
NAGALAND,PEREN,25.4499691,93.6001738
NAGALAND,PHEK,25.6700924,94.3843925
NAGALAND,TUENSANG,26.2342107,94.741553
NAGALAND,WOKHA,26.242251,94.1921153
NAGALAND,ZUNHEBOTO,26.0123803,94.5123719
ODISHA,ANGUL,21.102538,84.9536825
ODISHA,BALASORE,21.5006421,86.919884
ODISHA,BARAGARH,21.3335004,83.6190492
ODISHA,BERHAMPUR,21.4930852,86.6327298
ODISHA,BHADRAK,20.9854052,86.5934226
ODISHA,BOLANGIR,20.7502257,83.2499464
ODISHA,BOUDH,20.6407463,83.9969704
ODISHA,CUTTACK,20.4686,85.8792
ODISHA,DEOGARH,21.5370786,84.7301184
ODISHA,DHENKANAL,20.8351494,85.6022305
ODISHA,GAJAPATI,19.1966026,84.1930634
ODISHA,GANJAM,19.6090068,84.7080633
ODISHA,JAGATSINGHPUR,20.2593872,86.1660878
ODISHA,JAJPUR,20.8746788,86.1215393
ODISHA,JHARSUGUDA,21.8019368,83.9713964
ODISHA,KALAHANDI,19.8265757,83.0408702
ODISHA,KANDHAMAL,20.1306939,84.0790476
ODISHA,KENDRAPARA,20.5475164,86.5296168
ODISHA,KEONJHAR,21.5,85.5
ODISHA,KHURDA,20.1531141,85.7076331
ODISHA,KORAPUT,18.7232023,82.6100596
ODISHA,MAYURBHANJ,21.9156338,86.3961824
ODISHA,NAYAGARH,20.2393682,85.050728
ODISHA,NUAPADA,20.5412657,82.5292352
ODISHA,PURI,19.8076083,85.8252538
ODISHA,RAYAGADA,19.4426698,83.5873053
ODISHA,ROURKELA,22.2309255,84.8678705
ODISHA,SAMBALPUR,21.5570606,84.1528515
ODISHA,SONEPUR,20.8453864,83.909083
ODISHA,SUNDARGARH,22.0605153,83.9359154
PUNJAB,AMRITSAR,31.6356659,74.8787496
PUNJAB,BARNALA,30.3716802,75.5039887
PUNJAB,BATALA,31.8193025,75.1999941
PUNJAB,BHATINDA,30.206791,74.9463699
PUNJAB,FARIDKOT,30.6014507,74.7950176
PUNJAB,FATEHGARH SAHIB,30.6634042,76.3803
PUNJAB,FEROZEPUR,30.6839733,76.3594033
PUNJAB,GURDASPUR,31.9037264,75.2275587
PUNJAB,HOSHIARPUR,31.6092942,75.8459754
PUNJAB,JAGRAON,30.8041704,75.4753645
PUNJAB,JALANDHAR,31.2922312,75.5678878
PUNJAB,KAPURTHALA,31.3856476,75.3053304
PUNJAB,KHANNA,30.700625,76.2220763
PUNJAB,LUDHIANA,30.9090157,75.851601
PUNJAB,MAJITHA,31.7565085,74.9567976
PUNJAB,MANSA,29.8764133,75.4889564
PUNJAB,MOGA,30.7877554,75.159359
PUNJAB,MUKTSAR,30.4692,74.5182
PUNJAB,PATIALA,30.2092778,76.3397231
PUNJAB,ROPAR,30.9688367,76.526088
PUNJAB,SANGRUR,30.135717,75.8533326
PUNJAB,TARN TARAN,31.3212453,74.8416687
RAJASTHAN,AJMER,26.4691,74.639
RAJASTHAN,ALWAR,27.4140049,76.6170387
RAJASTHAN,BANSWARA,23.4915047,74.3502172
RAJASTHAN,BARAN,24.9208165,76.6821985
RAJASTHAN,BARMER,25.5814853,71.1924922
RAJASTHAN,BHARATPUR,27.0246959,77.2920116
RAJASTHAN,BHILWARA,25.470994,74.6961316
RAJASTHAN,BIKANER,28.0159286,73.3171367
RAJASTHAN,BUNDI,25.4367659,75.7361471
RAJASTHAN,CHITTORGARH,24.7171578,74.4718129
RAJASTHAN,CHURU,28.2047781,74.6912996
RAJASTHAN,DAUSA,26.8048659,76.4437457
RAJASTHAN,DHOLPUR,26.7010642,77.896749
RAJASTHAN,DUNGARPUR,23.8538893,73.7087177
RAJASTHAN,GANGANAGAR,25.9061389,76.4815499
RAJASTHAN,HANUMANGARH,29.3659533,74.298429
RAJASTHAN,JAIPUR,26.9154576,75.8189817
RAJASTHAN,JAISALMER,27.0264162,70.777512
RAJASTHAN,JALORE,25.2093482,72.3178889
RAJASTHAN,JHALAWAR,24.3132368,76.5221078
RAJASTHAN,JHUNJHUNU,28.0798944,75.5424211
RAJASTHAN,JODHPUR,26.2967719,73.0351433
RAJASTHAN,KARAULI,26.5158329,77.0565965
RAJASTHAN,KOTA,25.1737019,75.8574194
RAJASTHAN,NAGAUR,26.9873443,73.7389011
RAJASTHAN,PALI,25.4552211,73.419389
RAJASTHAN,RAJSAMAND,25.2892459,73.8241077
RAJASTHAN,SAWAI MADHOPUR,26.2290186,76.3043561
RAJASTHAN,SIKAR,27.6624156,75.0279971
RAJASTHAN,SIROHI,24.8114047,72.8300257
RAJASTHAN,TONK,26.1223198,75.6632235
RAJASTHAN,UDAIPUR,24.578721,73.6862571
SIKKIM,EAST,27.5858069,88.1101127
SIKKIM,NORTH,27.666667,88.5
SIKKIM,SOUTH,27.6922768,88.1540142
SIKKIM,WEST,27.9820852,88.6848163
TAMIL NADU,ARIYALUR,11.1530559,79.2585797
TAMIL NADU,CHENNAI,13.0836939,80.270186
TAMIL NADU,COIMBATORE URBAN,10.9757337,76.9959721
TAMIL NADU,CUDDALORE,11.5202071,79.3396356
TAMIL NADU,DHARMAPURI,12.1456131,78.1132217
TAMIL NADU,DINDIGUL,10.4257161,77.8154728
TAMIL NADU,ERODE,11.4905282,77.3505274
TAMIL NADU,KANCHIPURAM,12.9647163,79.9839686
TAMIL NADU,KANYAKUMARI,8.079252,77.5499338
TAMIL NADU,KARUR,10.8217671,78.3828654
TAMIL NADU,NAGAPATTINAM,10.6026203,79.7619348
TAMIL NADU,NAMAKKAL,11.3033889,78.118604
TAMIL NADU,NILGIRIS,11.4449997,76.69752
TAMIL NADU,PERAMBALUR,11.2902641,78.9300404
TAMIL NADU,PUDUKOTTAI,10.3826515,78.8191259
TAMIL NADU,RAMNATHAPURAM,9.5,78.5
TAMIL NADU,SIVAGANGAI,9.9650599,78.7204283
TAMIL NADU,THANJAVUR,10.659037,79.2014278
TAMIL NADU,THENI,9.8692558,77.4222974
