region_id,period,year,month,orders,promo,avg_order_value,avg_parcel_weight_kg,return_rate
R002,2024-06,2024,6,125885,0,1300.0,1.79,0.134
R002,2024-07,2024,7,140759,0,1021.0,2.05,0.063
R002,2024-08,2024,8,162192,0,1343.0,1.85,0.158
R002,2024-09,2024,9,142579,0,1099.0,0.87,0.104
R002,2024-10,2024,10,222345,1,1081.0,1.46,0.059
R002,2024-11,2024,11,241681,1,1204.0,2.12,0.091
R002,2024-12,2024,12,193815,1,1204.0,1.94,0.145
R002,2025-01,2025,1,186126,0,1324.0,1.18,0.144
R002,2025-02,2025,2,154932,0,1086.0,0.85,0.149
R002,2025-03,2025,3,151511,0,1456.0,1.36,0.083
R002,2025-04,2025,4,175975,0,1016.0,2.22,0.059
R002,2025-05,2025,5,190390,0,1171.0,2.4,0.095
R002,2025-06,2025,6,155007,0,1103.0,1.43,0.105
R002,2025-07,2025,7,176748,0,1188.0,1.12,0.1
R002,2025-08,2025,8,208074,0,1148.0,2.33,0.109
R002,2025-09,2025,9,176117,0,1208.0,1.32,0.108
R002,2025-10,2025,10,309385,1,992.0,1.28,0.085
R002,2025-11,2025,11,294090,1,1197.0,1.7,0.136
R002,2025-12,2025,12,221572,0,1098.0,1.88,0.07
R003,2023-01,2023,1,155204,0,1121.0,1.62,0.054
R003,2023-02,2023,2,149334,1,1034.0,1.19,0.1
R003,2023-03,2023,3,147137,0,1143.0,0.98,0.057
R003,2023-04,2023,4,155467,0,1228.0,1.43,0.05
R003,2023-05,2023,5,152425,0,1004.0,1.61,0.087
R003,2023-06,2023,6,135017,0,1285.0,1.22,0.077
R003,2023-07,2023,7,169107,0,1242.0,1.33,0.055
R003,2023-08,2023,8,172779,0,1127.0,0.88,0.151
R003,2023-09,2023,9,166049,0,880.0,0.98,0.077
R003,2023-10,2023,10,220007,1,1262.0,0.81,0.118
R003,2023-11,2023,11,219893,1,1114.0,1.21,0.1
R003,2023-12,2023,12,177544,0,1253.0,2.1,0.138
R003,2024-01,2024,1,188776,0,1226.0,1.31,0.053
R003,2024-02,2024,2,173259,1,1352.0,1.96,0.131
R003,2024-03,2024,3,185808,0,1174.0,1.0,0.126
R003,2024-04,2024,4,160475,0,1140.0,0.81,0.159
R003,2024-05,2024,5,204396,1,1126.0,2.21,0.118
R003,2024-06,2024,6,175081,1,1197.0,1.27,0.142
R003,2024-07,2024,7,191917,0,1155.0,2.2,0.117
R003,2024-08,2024,8,204410,0,1282.0,1.96,0.133
R003,2024-09,2024,9,185210,0,1081.0,0.82,0.107
R003,2024-10,2024,10,289268,1,1179.0,1.43,0.066
R003,2024-11,2024,11,287513,1,1188.0,2.17,0.073
R003,2024-12,2024,12,186577,0,1136.0,1.41,0.132
R003,2025-01,2025,1,220114,0,1104.0,0.97,0.145
R003,2025-02,2025,2,216131,1,1110.0,1.99,0.158
R003,2025-03,2025,3,188847,0,1194.0,1.43,0.117
R003,2025-04,2025,4,203890,0,1091.0,2.3,0.072
R003,2025-05,2025,5,195038,0,1201.0,1.06,0.087
R003,2025-06,2025,6,167849,0,1160.0,2.01,0.081
R003,2025-07,2025,7,195560,0,1144.0,1.55,0.055
R003,2025-08,2025,8,222926,0,915.0,1.59,0.078
R003,2025-09,2025,9,203641,0,1264.0,2.24,0.158
R003,2025-10,2025,10,321460,1,1098.0,1.29,0.061
R003,2025-11,2025,11,284032,1,1155.0,1.06,0.068
R003,2025-12,2025,12,198567,0,966.0,1.27,0.095
R004,2023-01,2023,1,59469,0,1123.0,0.99,0.061
R004,2023-02,2023,2,51789,0,1217.0,1.46,0.077
R004,2023-03,2023,3,64814,0,1314.0,1.65,0.077
R004,2023-04,2023,4,61180,0,1130.0,2.04,0.104
R004,2023-05,2023,5,61012,0,1151.0,1.01,0.155
R004,2023-06,2023,6,60015,0,1012.0,1.69,0.078
R004,2023-07,2023,7,74827,1,1209.0,1.31,0.101
R004,2023-08,2023,8,74218,0,1196.0,2.38,0.132
R004,2023-09,2023,9,78518,1,1065.0,1.35,0.088
R004,2023-10,2023,10,104821,1,1344.0,2.07,0.152
R004,2023-11,2023,11,98338,1,1119.0,2.39,0.057
R004,2023-12,2023,12,79281,1,1177.0,1.81,0.151
R004,2024-01,2024,1,82713,0,980.0,1.86,0.102
R004,2024-02,2024,2,69147,0,1195.0,1.88,0.054
R004,2024-03,2024,3,72994,0,1254.0,1.86,0.154
R004,2024-04,2024,4,75807,0,1242.0,1.7,0.106
R004,2024-05,2024,5,77543,0,1100.0,1.35,0.098
R004,2024-06,2024,6,87476,1,1241.0,1.85,0.052
R004,2024-07,2024,7,78040,0,1025.0,2.18,0.123
R004,2024-08,2024,8,88403,0,1191.0,1.25,0.15
R004,2024-09,2024,9,73148,0,888.0,2.32,0.078
R004,2024-10,2024,10,140715,1,1090.0,1.44,0.053
R004,2024-11,2024,11,131032,1,1247.0,1.51,0.144
R004,2024-12,2024,12,91851,0,1059.0,1.81,0.077
R004,2025-01,2025,1,91286,0,1001.0,2.37,0.134
R004,2025-02,2025,2,78005,0,1168.0,1.18,0.082
R004,2025-03,2025,3,92378,0,1095.0,1.15,0.145
R004,2025-04,2025,4,101114,1,1323.0,2.08,0.065
R004,2025-05,2025,5,108548,1,1040.0,2.4,0.067
R004,2025-06,2025,6,88753,0,1179.0,2.37,0.065
R004,2025-07,2025,7,101661,0,982.0,1.86,0.142
R004,2025-08,2025,8,109462,0,1245.0,1.6,0.122
R004,2025-09,2025,9,104498,0,1209.0,0.95,0.157
R004,2025-10,2025,10,171479,1,1212.0,0.88,0.089
R004,2025-11,2025,11,149052,1,1251.0,1.47,0.132
R004,2025-12,2025,12,110218,0,1159.0,1.03,0.061
R005,2023-01,2023,1,72100,1,1060.0,0.8,0.135
R005,2023-02,2023,2,59584,0,1121.0,1.07,0.145
R005,2023-03,2023,3,56243,0,1130.0,0.95,0.131
R005,2023-04,2023,4,59316,0,1356.0,2.0,0.09
R005,2023-05,2023,5,60187,0,1207.0,0.99,0.069
R005,2023-06,2023,6,57701,0,1183.0,2.38,0.122
R005,2023-07,2023,7,62549,0,856.0,2.36,0.071
R005,2023-08,2023,8,68538,0,1032.0,1.98,0.111
R005,2023-09,2023,9,63329,0,1012.0,0.88,0.103
R005,2023-10,2023,10,101009,1,1059.0,2.12,0.092
R005,2023-11,2023,11,88104,1,1054.0,1.7,0.057
R005,2023-12,2023,12,66951,0,1224.0,1.83,0.148
R005,2024-01,2024,1,74206,0,1382.0,0.9,0.114
R005,2024-02,2024,2,71494,0,991.0,0.96,0.097
R005,2024-03,2024,3,78726,1,1065.0,1.31,0.056
R005,2024-04,2024,4,77619,0,1128.0,1.13,0.152
R005,2024-05,2024,5,75322,1,1007.0,1.79,0.144
R005,2024-06,2024,6,71782,0,1042.0,2.39,0.094
R005,2024-07,2024,7,79361,0,1084.0,2.09,0.158
R005,2024-08,2024,8,73733,0,1189.0,1.41,0.114
R005,2024-09,2024,9,81891,0,1303.0,0.97,0.115
R005,2024-10,2024,10,132130,1,1101.0,1.81,0.153
R005,2024-11,2024,11,123721,1,1054.0,1.71,0.122
R005,2024-12,2024,12,87032,0,1359.0,1.41,0.068
R005,2025-01,2025,1,96030,0,1144.0,1.7,0.078
R005,2025-02,2025,2,83074,0,1334.0,1.87,0.154
R005,2025-03,2025,3,83990,0,1078.0,0.81,0.125
R005,2025-04,2025,4,108498,1,908.0,2.16,0.101
R005,2025-05,2025,5,83106,0,1390.0,2.21,0.112
R005,2025-06,2025,6,95058,1,1181.0,1.59,0.156
R005,2025-07,2025,7,86320,0,1156.0,1.75,0.091
R005,2025-08,2025,8,107317,0,852.0,1.7,0.117
R005,2025-09,2025,9,93343,0,1247.0,0.99,0.142
R005,2025-10,2025,10,165814,1,1195.0,0.84,0.101
R005,2025-11,2025,11,136471,1,962.0,1.4,0.054
R005,2025-12,2025,12,91473,0,1239.0,1.02,0.088
R006,2023-01,2023,1,79820,0,1206.0,2.36,0.122
R006,2023-02,2023,2,65922,0,1203.0,1.49,0.109
R006,2023-03,2023,3,77216,0,1260.0,1.93,0.149
R006,2023-04,2023,4,71283,0,1237.0,0.99,0.142
R006,2023-05,2023,5,76662,0,1120.0,1.71,0.099
R006,2023-06,2023,6,79272,0,1195.0,1.1,0.156
R006,2023-07,2023,7,88001,0,1249.0,2.13,0.143
R006,2023-08,2023,8,108221,1,1171.0,1.67,0.149
R006,2023-09,2023,9,71832,0,1130.0,1.53,0.09
R006,2023-10,2023,10,127527,1,1040.0,2.05,0.152
R006,2023-11,2023,11,133360,1,1373.0,1.13,0.074
R006,2023-12,2023,12,85078,0,1111.0,1.18,0.067
R006,2024-01,2024,1,106587,0,1228.0,2.26,0.119
R006,2024-02,2024,2,102238,0,1301.0,2.18,0.088
R006,2024-03,2024,3,104599,0,1153.0,2.31,0.135
R006,2024-04,2024,4,109198,0,1041.0,1.85,0.098
R006,2024-05,2024,5,107872,0,1039.0,2.3,0.062
R006,2024-06,2024,6,96961,0,795.0,1.5,0.103
R006,2024-07,2024,7,109818,0,1323.0,1.75,0.12
R006,2024-08,2024,8,131907,0,1079.0,2.23,0.057
R006,2024-09,2024,9,109820,0,1136.0,1.49,0.144
R006,2024-10,2024,10,180672,1,1063.0,1.87,0.091
R006,2024-11,2024,11,167983,1,987.0,1.98,0.074
R006,2024-12,2024,12,145158,1,879.0,1.8,0.148
R006,2025-01,2025,1,136795,1,1355.0,1.05,0.082
R006,2025-02,2025,2,118198,0,1053.0,1.93,0.089
R006,2025-03,2025,3,145878,1,1147.0,1.29,0.111
R006,2025-04,2025,4,137072,1,1012.0,2.05,0.14
R006,2025-05,2025,5,126005,0,1190.0,1.38,0.101
R006,2025-06,2025,6,124269,0,1166.0,1.3,0.064
R006,2025-07,2025,7,120692,0,1175.0,1.18,0.152
R006,2025-08,2025,8,136879,0,820.0,2.4,0.148
R006,2025-09,2025,9,152979,0,1130.0,0.93,0.102
R006,2025-10,2025,10,230594,1,1010.0,1.68,0.062
R006,2025-11,2025,11,191702,1,1332.0,2.39,0.148
R006,2025-12,2025,12,152417,0,1122.0,1.77,0.088
R007,2023-01,2023,1,36387,1,1080.0,0.89,0.094
R007,2023-02,2023,2,29245,0,1247.0,1.08,0.079
R007,2023-03,2023,3,36078,1,1037.0,2.1,0.08
R007,2023-04,2023,4,35044,0,1153.0,1.49,0.135
R007,2023-05,2023,5,31103,0,1154.0,1.14,0.113
R007,2023-06,2023,6,38887,1,1216.0,1.63,0.06
R007,2023-07,2023,7,29804,0,1032.0,1.1,0.095
R007,2023-08,2023,8,38056,0,1195.0,1.9,0.095
R007,2023-09,2023,9,38838,0,1143.0,1.97,0.061
R007,2023-10,2023,10,54578,1,1211.0,1.54,0.138
R007,2023-11,2023,11,53055,1,1145.0,1.24,0.065
R007,2023-12,2023,12,43464,0,1189.0,2.15,0.054
R007,2024-01,2024,1,42444,0,1173.0,1.14,0.144
R007,2024-02,2024,2,35887,0,1004.0,2.19,0.118
R007,2024-03,2024,3,44372,1,938.0,2.3,0.099
R007,2024-04,2024,4,35369,0,860.0,2.11,0.063
R007,2024-05,2024,5,38808,0,1129.0,1.73,0.137
R007,2024-06,2024,6,37954,0,1122.0,1.88,0.071
R007,2024-07,2024,7,41946,0,1436.0,2.27,0.089
R007,2024-08,2024,8,47927,0,1177.0,0.95,0.146
R007,2024-09,2024,9,41039,0,1166.0,2.37,0.083
R007,2024-10,2024,10,68117,1,1063.0,1.85,0.053
R007,2024-11,2024,11,58053,1,1073.0,1.59,0.088
R007,2024-12,2024,12,48127,1,1086.0,2.31,0.132
R007,2025-01,2025,1,45092,0,1199.0,1.15,0.136
R007,2025-02,2025,2,41535,0,1091.0,2.33,0.12
R007,2025-03,2025,3,49369,0,1181.0,1.52,0.072
R007,2025-04,2025,4,38753,0,1136.0,1.73,0.157
R007,2025-05,2025,5,44070,0,989.0,1.07,0.06
R007,2025-06,2025,6,54249,1,1162.0,0.92,0.141
R007,2025-07,2025,7,46505,0,1146.0,2.21,0.107
R007,2025-08,2025,8,54261,0,1127.0,1.55,0.138
R007,2025-09,2025,9,58846,1,993.0,2.15,0.125
R007,2025-10,2025,10,75126,1,1257.0,1.29,0.126
R007,2025-11,2025,11,66689,1,1225.0,1.26,0.118
R007,2025-12,2025,12,49748,0,1057.0,1.91,0.125
R008,2023-01,2023,1,34655,0,1040.0,1.16,0.132
R008,2023-02,2023,2,30092,0,1284.0,1.6,0.152
R008,2023-03,2023,3,33049,0,1247.0,1.98,0.107
R008,2023-04,2023,4,37103,0,1283.0,1.55,0.1
R008,2023-05,2023,5,32619,0,1183.0,0.8,0.135
R008,2023-06,2023,6,37949,1,1082.0,1.05,0.068
R008,2023-07,2023,7,36389,0,1161.0,1.46,0.075
R008,2023-08,2023,8,41576,0,916.0,2.16,0.075
R008,2023-09,2023,9,38718,0,1230.0,1.73,0.159
R008,2023-10,2023,10,52417,1,1297.0,2.29,0.108
R008,2023-11,2023,11,59122,1,1045.0,2.38,0.15
R008,2023-12,2023,12,37482,0,1219.0,1.68,0.106
R008,2024-01,2024,1,48006,0,1080.0,1.33,0.064
R008,2024-02,2024,2,35646,0,1154.0,1.16,0.111
R008,2024-03,2024,3,40551,0,1114.0,1.85,0.057
R008,2024-04,2024,4,42468,0,1197.0,2.16,0.117
R008,2024-05,2024,5,47375,0,1185.0,2.08,0.051
R008,2024-06,2024,6,40290,0,1255.0,1.04,0.123
R008,2024-07,2024,7,42013,0,1238.0,1.59,0.102
R008,2024-08,2024,8,52600,0,1095.0,1.36,0.052
R008,2024-09,2024,9,43215,0,963.0,2.04,0.128
R008,2024-10,2024,10,67484,1,1118.0,1.19,0.075
R008,2024-11,2024,11,65847,1,1083.0,2.12,0.072
R008,2024-12,2024,12,57148,1,1154.0,2.32,0.134
R008,2025-01,2025,1,50427,0,1216.0,1.68,0.143
R008,2025-02,2025,2,44756,0,1112.0,1.71,0.131
R008,2025-03,2025,3,44696,0,1143.0,1.56,0.084
R008,2025-04,2025,4,53839,0,944.0,1.08,0.101
R008,2025-05,2025,5,47593,0,1146.0,2.18,0.144
R008,2025-06,2025,6,45043,0,1003.0,1.21,0.159
R008,2025-07,2025,7,57878,1,1045.0,1.34,0.102
R008,2025-08,2025,8,53068,0,1176.0,2.15,0.143
R008,2025-09,2025,9,54079,0,1170.0,0.99,0.104
R008,2025-10,2025,10,82107,1,1179.0,0.88,0.065
R008,2025-11,2025,11,79473,1,1163.0,1.25,0.118
R008,2025-12,2025,12,50647,0,1339.0,0.82,0.1
R009,2023-01,2023,1,14827,0,1115.0,1.75,0.107
R009,2023-02,2023,2,12104,0,1215.0,2.05,0.052
R009,2023-03,2023,3,14847,0,1139.0,2.06,0.152
R009,2023-04,2023,4,16330,1,1180.0,1.68,0.087
R009,2023-05,2023,5,16260,1,1225.0,2.15,0.103
R009,2023-06,2023,6,14584,0,1169.0,2.31,0.105
R009,2023-07,2023,7,16416,0,1055.0,1.6,0.078
R009,2023-08,2023,8,16317,0,838.0,1.25,0.093
R009,2023-09,2023,9,16070,0,1102.0,1.28,0.093
R009,2023-10,2023,10,27623,1,1185.0,1.88,0.089
R009,2023-11,2023,11,23543,1,1031.0,1.38,0.113
R009,2023-12,2023,12,16498,0,1003.0,0.86,0.064
R009,2024-01,2024,1,19764,0,1091.0,2.09,0.117
R009,2024-02,2024,2,15760,0,1183.0,1.35,0.107
R009,2024-03,2024,3,22793,1,1214.0,0.82,0.079
R009,2024-04,2024,4,19338,1,1157.0,1.24,0.071
R009,2024-05,2024,5,17086,0,1199.0,1.32,0.053
R009,2024-06,2024,6,19663,0,1139.0,2.29,0.109
R009,2024-07,2024,7,20501,0,1166.0,2.15,0.098
R009,2024-08,2024,8,23926,0,933.0,2.29,0.159
R009,2024-09,2024,9,23024,1,1116.0,0.85,0.138
R009,2024-10,2024,10,31701,1,1197.0,1.24,0.055
R009,2024-11,2024,11,32476,1,1158.0,1.48,0.08
R009,2024-12,2024,12,23348,0,1053.0,1.6,0.078
R009,2025-01,2025,1,32121,1,1201.0,1.71,0.141
R009,2025-02,2025,2,21361,0,1054.0,2.35,0.066
R009,2025-03,2025,3,27871,1,1139.0,1.73,0.152
R009,2025-04,2025,4,23654,0,1037.0,0.89,0.14
R009,2025-05,2025,5,25077,0,1048.0,1.86,0.153
R009,2025-06,2025,6,24371,0,1231.0,1.74,0.099
R009,2025-07,2025,7,32133,1,1223.0,1.57,0.06
R009,2025-08,2025,8,28337,0,1048.0,1.3,0.1
R009,2025-09,2025,9,28007,0,1208.0,1.21,0.057
R009,2025-10,2025,10,48685,1,927.0,1.85,0.154
R009,2025-11,2025,11,40204,1,1391.0,1.31,0.109
R009,2025-12,2025,12,31146,1,1171.0,1.21,0.072
R010,2023-01,2023,1,11785,0,1129.0,1.65,0.092
R010,2023-02,2023,2,10690,0,1203.0,2.26,0.056
R010,2023-03,2023,3,12584,0,1363.0,1.53,0.112
R010,2023-04,2023,4,12023,0,972.0,1.96,0.119
R010,2023-05,2023,5,11685,0,1178.0,2.19,0.111
R010,2023-06,2023,6,11830,0,1021.0,1.47,0.087
R010,2023-07,2023,7,12009,0,1139.0,2.22,0.072
R010,2023-08,2023,8,13629,0,1263.0,1.78,0.083
R010,2023-09,2023,9,12625,0,1290.0,0.81,0.154
R010,2023-10,2023,10,17733,1,1008.0,1.5,0.107
R010,2023-11,2023,11,20156,1,1056.0,2.39,0.092
R010,2023-12,2023,12,14580,0,1124.0,1.08,0.105
R010,2024-01,2024,1,16270,1,1259.0,1.45,0.079
R010,2024-02,2024,2,14715,0,912.0,1.72,0.114
R010,2024-03,2024,3,14704,0,1194.0,1.49,0.146
R010,2024-04,2024,4,13441,0,1287.0,1.07,0.13
R010,2024-05,2024,5,15924,0,1060.0,2.18,0.06
R010,2024-06,2024,6,15385,1,1098.0,1.18,0.097
R010,2024-07,2024,7,15581,0,1181.0,2.38,0.141
R010,2024-08,2024,8,17503,0,1194.0,1.86,0.079
R010,2024-09,2024,9,15900,0,1301.0,1.54,0.084
R010,2024-10,2024,10,26096,1,1326.0,2.2,0.065
R010,2024-11,2024,11,21710,1,1146.0,1.04,0.055
R010,2024-12,2024,12,17957,0,1251.0,2.0,0.115
R010,2025-01,2025,1,18565,0,1034.0,1.75,0.078
R010,2025-02,2025,2,19547,1,1225.0,1.75,0.133
R010,2025-03,2025,3,15610,0,1189.0,1.69,0.086
R010,2025-04,2025,4,17293,0,1208.0,1.47,0.104
R010,2025-05,2025,5,18388,0,1245.0,0.91,0.064
R010,2025-06,2025,6,19499,0,857.0,2.24,0.058
R010,2025-07,2025,7,19318,0,1245.0,2.13,0.114
R010,2025-08,2025,8,20892,0,1230.0,1.74,0.098
R010,2025-09,2025,9,20911,0,1187.0,1.12,0.103
R010,2025-10,2025,10,30929,1,1221.0,1.73,0.122
R010,2025-11,2025,11,28339,1,1219.0,1.8,0.117
R010,2025-12,2025,12,20536,0,1086.0,2.2,0.06
R011,2023-01,2023,1,12383,0,1061.0,1.75,0.087
R011,2023-02,2023,2,9015,0,1336.0,1.63,0.056
R011,2023-03,2023,3,12452,0,1148.0,2.31,0.076
R011,2023-04,2023,4,10447,0,1121.0,1.41,0.138
R011,2023-05,2023,5,11895,0,1158.0,2.28,0.107
R011,2023-06,2023,6,11048,0,1105.0,1.6,0.125
R011,2023-07,2023,7,11132,0,1215.0,0.89,0.153
R011,2023-08,2023,8,13555,0,929.0,1.47,0.061
R011,2023-09,2023,9,11608,0,1066.0,1.16,0.074
R011,2023-10,2023,10,18953,1,1095.0,1.8,0.067
R011,2023-11,2023,11,16182,1,906.0,1.81,0.12
R011,2023-12,2023,12,15422,1,1176.0,1.74,0.092
R011,2024-01,2024,1,13422,0,1315.0,1.5,0.077
R011,2024-02,2024,2,12209,0,1242.0,1.08,0.082
R011,2024-03,2024,3,12635,0,1084.0,2.32,0.126
R011,2024-04,2024,4,13700,0,1296.0,0.85,0.125
R011,2024-05,2024,5,13875,0,1078.0,1.43,0.061
R011,2024-06,2024,6,12497,0,1151.0,1.69,0.141
R011,2024-07,2024,7,13362,0,1124.0,2.17,0.142
R011,2024-08,2024,8,15128,0,1280.0,1.51,0.068
R011,2024-09,2024,9,14255,0,1129.0,2.23,0.064
R011,2024-10,2024,10,19697,1,1226.0,1.45,0.155
R011,2024-11,2024,11,21461,1,1092.0,2.01,0.066
R011,2024-12,2024,12,15119,0,1137.0,1.36,0.14
R011,2025-01,2025,1,15559,0,1251.0,1.59,0.145
R011,2025-02,2025,2,14004,0,1352.0,2.34,0.153
R011,2025-03,2025,3,15550,0,1206.0,1.35,0.077
R011,2025-04,2025,4,15550,0,1196.0,1.81,0.097
R011,2025-05,2025,5,16794,0,1266.0,1.12,0.134
R011,2025-06,2025,6,15506,0,1319.0,2.21,0.138
R011,2025-07,2025,7,18041,0,1236.0,1.47,0.132
R011,2025-08,2025,8,18040,0,1275.0,1.7,0.075
R011,2025-09,2025,9,16619,0,1042.0,1.19,0.139
R011,2025-10,2025,10,23525,1,1249.0,1.55,0.099
R011,2025-11,2025,11,22960,1,1262.0,1.6,0.14
R011,2025-12,2025,12,16419,0,1175.0,2.17,0.114
R012,2023-01,2023,1,7189,0,1161.0,1.21,0.154
R012,2023-02,2023,2,7085,0,1233.0,2.2,0.14
R012,2023-03,2023,3,7544,0,1221.0,1.9,0.093
R012,2023-04,2023,4,8003,0,1347.0,2.23,0.069
R012,2023-05,2023,5,7035,0,1170.0,1.2,0.145
R012,2023-06,2023,6,6845,0,1036.0,0.82,0.106
R012,2023-07,2023,7,7459,0,979.0,1.07,0.136
R012,2023-08,2023,8,8588,0,1071.0,0.8,0.111
R012,2023-09,2023,9,8369,0,1194.0,1.09,0.128
R012,2023-10,2023,10,13125,1,1123.0,1.08,0.09
R012,2023-11,2023,11,12123,1,1121.0,1.6,0.075
R012,2023-12,2023,12,8002,0,1106.0,2.21,0.146
R012,2024-01,2024,1,9504,0,1047.0,1.84,0.061
R012,2024-02,2024,2,10051,1,1129.0,1.51,0.143
R012,2024-03,2024,3,10095,1,1235.0,2.22,0.133
R012,2024-04,2024,4,9080,0,1169.0,1.22,0.063
R012,2024-05,2024,5,9885,0,1172.0,1.15,0.126
R012,2024-06,2024,6,8592,0,998.0,2.14,0.131
R012,2024-07,2024,7,9199,0,1102.0,1.8,0.125
R012,2024-08,2024,8,11480,0,1228.0,0.9,0.063
R012,2024-09,2024,9,10423,0,1094.0,1.09,0.055
R012,2024-10,2024,10,14963,1,1164.0,1.69,0.116
R012,2024-11,2024,11,14676,1,1255.0,1.89,0.155
R012,2024-12,2024,12,10769,0,1067.0,1.15,0.131
R012,2025-01,2025,1,11850,0,1219.0,2.12,0.121
R012,2025-02,2025,2,11501,0,1094.0,0.87,0.098
R012,2025-03,2025,3,10407,0,1278.0,1.74,0.057
R012,2025-04,2025,4,11008,0,1096.0,1.49,0.085
R012,2025-05,2025,5,10901,0,1231.0,1.49,0.096
R012,2025-06,2025,6,10237,0,1266.0,1.46,0.095
R012,2025-07,2025,7,11697,0,920.0,1.79,0.052
R012,2025-08,2025,8,12671,0,1086.0,1.44,0.05
R012,2025-09,2025,9,14289,1,1251.0,1.33,0.074
R012,2025-10,2025,10,17634,1,1136.0,1.0,0.158
R012,2025-11,2025,11,20541,1,1268.0,0.94,0.072
R012,2025-12,2025,12,12643,0,1178.0,2.29,0.16
R013,2023-01,2023,1,5649,0,1070.0,2.28,0.127
R013,2023-02,2023,2,4999,0,1131.0,1.53,0.077
R013,2023-03,2023,3,5692,1,1143.0,2.4,0.068
R013,2023-04,2023,4,5550,1,1056.0,1.89,0.09
R013,2023-05,2023,5,5576,0,1158.0,1.7,0.123
R013,2023-06,2023,6,4756,0,1164.0,1.19,0.159
R013,2023-07,2023,7,5259,0,1187.0,1.25,0.086
R013,2023-08,2023,8,6214,0,1211.0,1.05,0.066
R013,2023-09,2023,9,5460,0,1139.0,1.05,0.077
R013,2023-10,2023,10,8615,1,1267.0,0.96,0.078
R013,2023-11,2023,11,8142,1,1273.0,1.72,0.102
R013,2023-12,2023,12,7319,1,1006.0,1.61,0.122
R013,2024-01,2024,1,6591,0,1193.0,1.78,0.061
R013,2024-02,2024,2,6221,1,1063.0,0.9,0.068
R013,2024-03,2024,3,6073,0,1246.0,1.3,0.112
R013,2024-04,2024,4,6121,0,1291.0,2.37,0.141
R013,2024-05,2024,5,5813,0,1102.0,0.94,0.115
R013,2024-06,2024,6,7073,1,1134.0,1.27,0.134
